Meter serial,Class (PRM),Subclass,Object code,OBIS,Description,Attribute,Unit,Value,Read status,Error,Timestamp (UTC)
202402240051,Basic,,0.0.1.0.0.255.2,0.0.1.0.0.255,DATA_TIME,2,,04/08/26 20:08:48,ok,,2026-04-08T17:07:50.254354Z
202402240051,Basic,,0.0.1.0.0.255.3,0.0.1.0.0.255,time zone,3,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.1.0.0.255.5,0.0.1.0.0.255,Daylights_Savings_Begin,5,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.1.0.0.255.6,0.0.1.0.0.255,Daylights_Savings_End,6,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.1.0.0.255.7,0.0.1.0.0.255,Daylights_Savings_Deviation,7,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.1.0.0.255.8,0.0.1.0.0.255,Daylights_Savings_Enabled,8,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.10.1.0.255.1,0.0.10.1.0.255,MeterAction,1,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.10.1.0.255.2,0.0.10.1.0.255,SearchMeter,2,,,error,dlms_error_4:4,2026-04-08T17:07:50.713919Z
202402240051,Basic,,0.0.40.0.4.255.7,0.0.40.0.4.255,LLS,7,,,unsupported,OBIS_SELECTION_V1_ATTRIBUTE_NOT_2,2026-04-08T17:07:44.927982Z
202402240051,Basic,,0.0.43.0.3.255.2,0.0.43.0.3.255,key,2,,,error,dlms_error_4:4,2026-04-08T17:07:51.163834Z
202402240051,Basic,,0.0.96.1.138.255.2,0.0.96.1.138.255,ModuleFirmwareVersion,2,,ST-M13-KIRG-V040,ok,,2026-04-08T17:07:51.684073Z
202402240051,Basic,,0.0.96.1.148.255.2,0.0.96.1.148.255,ICCID,2,,8996420088927919108F,ok,,2026-04-08T17:07:52.194421Z
202402240051,Basic,,0.0.96.1.149.255.2,0.0.96.1.149.255,IMEI,2,,,error,dlms_error_4:4,2026-04-08T17:07:52.653609Z
202402240051,Basic,,0.0.96.1.3.255.2,0.0.96.1.3.255,KAZProductType,2,,����������������,ok,,2026-04-08T17:07:53.803798Z
202402240051,Basic,,0.0.96.10.9.255.2,0.0.96.10.9.255,ProfileStatus9,2,,128,ok,,2026-04-08T17:07:54.264177Z
202402240051,Basic,,0.0.96.12.5.255.2,0.0.96.12.5.255,GPRSSignal,2,,26,ok,,2026-04-08T17:08:36.263756Z
202402240051,Basic,,0.0.96.128.11.255.2,0.0.96.128.11.255,event push config,2,,,error,dlms_error_4:4,2026-04-08T17:08:36.713391Z
202402240051,Basic,,0.0.96.128.2.255.2,0.0.96.128.2.255,HybridNetworkMode,2,,,error,dlms_error_4:4,2026-04-08T17:08:37.163654Z
202402240051,Basic,,0.0.96.128.3.255.2,0.0.96.128.3.255,HybridNetworkCurrentMode,2,,0,ok,,2026-04-08T17:08:37.633189Z
202402240051,Basic,,0.0.96.128.6.255,0.0.96.128.6.255,eventpushdelaytime,2,,,error,dlms_error_4:4,2026-04-08T17:08:38.083292Z
202402240051,Basic,,0.0.97.97.0.255.2,0.0.97.97.0.255,AlarmRegister1,2,,8192,ok,,2026-04-08T17:08:38.633286Z
202402240051,Basic,,0.0.97.97.2.255.2,0.0.97.97.2.255,StatusRegister3,2,,,error,no value,2026-04-08T17:08:39.123822Z
202402240051,Basic,,0.128.1.8.25.255.2,0.128.1.8.25.255,ParentChildEnable,2,,,error,dlms_error_4:4,2026-04-08T17:08:39.993783Z
202402240051,Basic,,0.128.1.8.26.255.2,0.128.1.8.26.255,SearchMeterCycle,2,,,error,dlms_error_4:4,2026-04-08T17:09:14.029724Z
202402240051,Basic,,0.128.1.8.27.255.2,0.128.1.8.27.255,ChildReportEnable,2,,,error,dlms_error_4:4,2026-04-08T17:09:14.489402Z
202402240051,Basic,,0.129.25.0.128.255.2,0.129.25.0.128.255,HeartbeatCycle,2,,2,ok,,2026-04-08T17:09:14.939332Z
202402240051,Basic,,0.129.25.1.0.255.2,0.129.25.1.0.255,SIMCardIP,2,,,error,dlms_error_4:4,2026-04-08T17:09:15.390246Z
202402240051,Basic,,0.129.25.1.128.255.2,0.129.25.1.128.255,client  Online period,2,,,error,dlms_error_4:4,2026-04-08T17:09:16.009971Z
202402240051,Basic,,0.129.25.2.128.255.2,0.129.25.2.128.255,server  Online period,2,,,error,dlms_error_4:4,2026-04-08T17:09:16.459262Z
202402240051,Basic,,0.129.96.12.6.255.2,0.129.96.12.6.255,RFSignal,2,,,error,dlms_error_4:4,2026-04-08T17:09:16.919505Z
202402240051,Basic,,0.129.96.12.7.255.2,0.129.96.12.7.255,PLCSignal,2,,,error,dlms_error_4:4,2026-04-08T17:09:17.359332Z
202402240051,Basic,,0.135.25.4.0.255.2,0.135.25.4.0.255,GPRS model words,2,,192,ok,,2026-04-08T17:09:45.794399Z
202402240051,Basic,,1.0.0.3.0.255,1.0.0.3.0.255,Active_Impulse,2,kWh,1000 ACTIVE,ok,,2026-04-08T17:09:46.724476Z
202402240051,Basic,,1.0.0.3.1.255,1.0.0.3.1.255,Reactive_Impulse,2,kWh,39056 REACTIVE,ok,,2026-04-08T17:09:47.654855Z
202402240051,Basic,,1.0.32.33.0.255,1.0.32.33.0.255,L1_Undervoltage_Duration,2,,0 SECOND,ok,,2026-04-08T17:09:48.642800Z
202402240051,Basic,,1.0.32.37.0.255,1.0.32.37.0.255,L1_Overvoltage_Duration,2,,0 SECOND,ok,,2026-04-08T17:09:49.975366Z
202402240051,Basic,,1.0.52.33.0.255,1.0.52.33.0.255,L2_Undervoltage_Duration,2,,48670 SECOND,ok,,2026-04-08T17:09:50.904755Z
202402240051,Basic,,1.0.52.37.0.255,1.0.52.37.0.255,L2_Overvoltage_Duration,2,,0 SECOND,ok,,2026-04-08T17:09:51.924658Z
202402240051,Basic,,1.0.72.33.0.255,1.0.72.33.0.255,L3_Undervoltage_Duration,2,,48672 SECOND,ok,,2026-04-08T17:09:52.854954Z
202402240051,Basic,,1.0.72.37.0.255,1.0.72.37.0.255,L3_Overvoltage_Duration,2,,0 SECOND,ok,,2026-04-08T17:10:21.090674Z
202402240051,Basic,,1.0.96.128.9.255.2,1.0.96.128.9.255,SearchChildMeter,2,,,error,dlms_error_4:4,2026-04-08T17:10:22.600781Z
202402240051,Basic,,1.0.97.97.0.255.2,1.0.97.97.0.255,clean alarm,2,,0,ok,,2026-04-08T17:10:50.754948Z
202402240051,Basic,,1.1.1.1.0.3.2,1.1.1.1.0.3,ModuleHardwareVersion,2,,,error,dlms_error_4:4,2026-04-08T17:10:51.195007Z
202402240051,Basic,,1.1.1.1.0.5.2,1.1.1.1.0.5,ManufacturerOfModule,2,,,error,dlms_error_4:4,2026-04-08T17:10:51.724933Z
202402240051,Basic,,1.1.1.1.0.6.2,1.1.1.1.0.6,ProtocolVersionOfModule,2,,,error,dlms_error_4:4,2026-04-08T17:10:52.164655Z
202402240051,Basic,,1.1.1.1.0.7.2,1.1.1.1.0.7,TypesOfModule,2,,,error,dlms_error_4:4,2026-04-08T17:10:52.615010Z
202402240051,Basic,,1.1.1.1.49.2.2,1.1.1.1.49.2,ModuleMAC-MASK,2,,,error,dlms_error_4:4,2026-04-08T17:10:53.065384Z
202402240051,Basic,,1.1.1.1.49.5.2,1.1.1.1.49.5,StatusOfModule,2,,,error,dlms_error_4:4,2026-04-08T17:11:30.608232Z
202402240051,Basic,,0.0.96.1.0.255.2,0.0.96.1.0.255,DeviceSerialNumber,2,,202402240051,ok,,2026-04-08T17:11:31.078339Z
202402240051,Basic,,0.0.0.2.0.255.2,0.0.0.2.0.255,ProductType,2,,IQ.3P4W.DC.V0001,ok,,2026-04-08T17:11:31.638466Z
202402240051,Basic,,0.0.0.2.1.255.2,0.0.0.2.1.255,FirewareVersion,2,,IQ.3P4W.DC.V0001,ok,,2026-04-08T17:11:32.138926Z
202402240051,Basic,,0.0.96.1.1.255.2,0.0.96.1.1.255,HardwareVersion,2,,SY18CN-HN8N2-V01,ok,,2026-04-08T17:11:32.638586Z
202402240051,Basic,,2.0.97.97.1.255.2,2.0.97.97.1.255,MeterDetectStatus,2,,6,ok,,2026-04-08T17:11:33.098674Z
202402240051,Basic,,0.0.96.10.1.255.2,0.0.96.10.1.255,ProfileStatus1,2,,,error,read_failed,2026-04-08T17:11:36.578336Z
202402240051,Basic,,0.0.96.10.2.255.2,0.0.96.10.2.255,ProfileStatus2,2,,,error,read_deadline,2026-04-08T17:11:52.402044Z
202402240051,Basic,,0.0.96.10.3.255.2,0.0.96.10.3.255,ProfileStatus3,2,,,not_attempted,Session stopped — transport or framing unusable.,2026-04-08T17:11:58.198749Z
